product_id,store_id,customer_id,sale_date,quantity,total_price,channel,heard_about_us,sales_associate_id
21,9999,913,2024-05-25,1,375.94,Online,Facebook,25
5,1,840,2023-10-13,5,61.73,In-Store,,1
3,9999,1792,2024-01-12,2,262.57,Online,Google,25
7,5,54,2023-12-24,4,125.81,In-Store,,18
6,9999,3463,2024-06-29,3,153.38,Online,YouTube,25
4,4,760,2024-06-07,4,66.42,In-Store,,14
2,1,1576,2024-08-25,5,79.92,In-Store,,2
3,9999,376,2023-11-04,2,391.07,Online,Facebook,25
4,1,3114,2024-03-06,3,237.64,In-Store,,3
12,9999,1717,2023-10-14,3,356.87,Online,Google,25
21,9999,1402,2023-12-23,5,369.98,Online,Friend,25
13,6,459,2024-04-05,5,125.42,In-Store,,21
8,9999,263,2023-10-13,3,212.56,Online,Facebook,25
19,6,1171,2023-12-15,2,334.61,In-Store,,22
9,5,1144,2024-05-28,2,377.59,In-Store,,18
14,9999,4781,2024-04-20,4,193.76,Online,Google,25
16,9999,745,2023-12-23,1,433.33,Online,Other,25
6,4,95,2024-05-06,5,50.49,In-Store,,14
4,1,1296,2024-07-26,3,388.93,In-Store,,2
15,9999,27,2023-10-06,3,486.51,Online,Google,25
4,9999,2445,2024-07-24,5,312.31,Online,YouTube,25
6,3,917,2024-06-15,5,460.88,In-Store,,11
12,9999,2520,2024-02-05,2,47.8,Online,Instagram,25
16,9999,567,2023-11-29,5,387.6,Online,Other,25
16,6,1648,2024-09-18,2,147.23,In-Store,,22
10,1,525,2024-02-04,3,230.29,In-Store,,2
11,9999,173,2023-11-06,5,285.88,Online,Instagram,25
3,9999,483,2023-11-08,2,52.35,Online,YouTube,25
3,2,1084,2024-08-09,2,153.67,In-Store,,5
19,5,1560,2024-05-11,4,136.64,In-Store,,18
4,3,795,2024-07-25,4,190.06,In-Store,,10
2,5,807,2024-06-27,1,213.26,In-Store,,18
4,1,1504,2024-04-17,2,111.3,In-Store,,2
9,9999,3790,2024-09-24,2,439.75,Online,Friend,25
18,9999,803,2024-02-19,1,333.03,Online,Instagram,25
8,9999,1363,2024-04-23,4,253.11,Online,Friend,25
2,2,1349,2024-08-02,4,21.03,In-Store,,6
15,1,480,2024-05-17,4,354.36,In-Store,,3
19,9999,4442,2024-08-14,1,379.03,Online,Instagram,25
19,9999,3906,2024-05-02,5,461.31,Online,Instagram,25
17,9999,657,2024-06-17,2,52.89,Online,Other,25
8,9999,3308,2023-10-20,1,471.97,Online,Google,25
20,6,326,2023-12-26,5,59.35,In-Store,,22
7,9999,2574,2024-01-17,2,147.49,Online,Other,25
21,9999,2458,2023-11-02,4,171.77,Online,Instagram,25
15,9999,4613,2023-12-28,1,55.17,Online,Google,25
9,9999,1086,2023-11-09,3,442.81,Online,YouTube,25
10,4,1293,2024-01-13,4,420.2,In-Store,,14
21,6,849,2024-05-23,1,340.57,In-Store,,22
5,9999,2167,2024-02-14,1,447.06,Online,YouTube,25
10,9999,4955,2024-02-16,2,364.45,Online,Other,25
21,9999,2163,2023-12-19,5,254.5,Online,Instagram,25
21,5,1324,2024-01-09,3,41.16,In-Store,,18
15,9999,4520,2024-09-10,4,289.24,Online,Instagram,25
5,9999,4470,2024-05-28,1,420.61,Online,Friend,25
5,9999,343,2024-05-13,3,195.03,Online,YouTube,25
