"total_sales","total_units_sold","avg_product_revenue","year","product_name","category"
"5232073.89","364097","183.0740715210469226","2021","Hydrometer","Accessories"
"5133581.91","357243","178.1071335391874545","2023","Hydrometer","Accessories"
"4665048.06","324638","164.4359555868875573","2022","Hydrometer","Accessories"
"4004746.56","278688","182.1995705186533212","2024","Hydrometer","Accessories"
"3829872.75","366495","133.1111062838871125","2021","Thermometer","Accessories"
"3676978.80","351864","128.7637904468412943","2023","Thermometer","Accessories"
"3444706.65","329637","120.6256487025948104","2022","Thermometer","Accessories"
"2907064.60","278188","132.6518183892311202","2024","Thermometer","Accessories"
"2826636.48","196704","98.4582005642829775","2020","Hydrometer","Accessories"
"2029640.80","194224","71.4134196544808416","2020","Thermometer","Accessories"
"1948098.00","362100","67.6940023629161165","2021","Bottle Caps","Accessories"
"1894954.36","352222","66.3522658356385027","2023","Bottle Caps","Accessories"
"1794536.66","333557","62.0496061685280592","2022","Bottle Caps","Accessories"
"1477821.44","274688","68.5827659179506219","2024","Bottle Caps","Accessories"
"1056567.44","196388","36.7003869533502379","2020","Bottle Caps","Accessories"
"962948.07","67011","143.5735902788131803","2019","Hydrometer","Accessories"
"710568.65","67997","103.7932588372772422","2019","Thermometer","Accessories"
"365205.16","67882","53.4316254572055596","2019","Bottle Caps","Accessories"
"4145312.94","364263","145.9822841245245809","2021","Bottle Cleaners","Cleaning Supplies"
"3952160.20","347290","140.7013492826373313","2023","Bottle Cleaners","Cleaning Supplies"
"3704485.88","325526","130.1600744878957169","2022","Bottle Cleaners","Cleaning Supplies"
"3647416.35","362927","128.0873841129372103","2021","Sanitizer","Cleaning Supplies"
"3582362.70","356454","123.9100238663484487","2023","Sanitizer","Cleaning Supplies"
"3296530.65","328013","114.4787696207806640","2022","Sanitizer","Cleaning Supplies"
"3156812.00","277400","143.4458126959603762","2024","Bottle Cleaners","Cleaning Supplies"
"2815738.65","280173","128.3849466532919934","2024","Sanitizer","Cleaning Supplies"
"2217290.58","194841","77.2979111033641276","2020","Bottle Cleaners","Cleaning Supplies"
"2001450.60","370639","69.0822380229186801","2021","Cleaning Brushes","Cleaning Supplies"
"1967478.45","195769","68.8531391076115486","2020","Sanitizer","Cleaning Supplies"
"1879065.00","347975","66.1479564895976344","2023","Cleaning Brushes","Cleaning Supplies"
"1761825.60","326264","61.9292628914900348","2022","Cleaning Brushes","Cleaning Supplies"
"1518922.80","281282","68.9072630767136960","2024","Cleaning Brushes","Cleaning Supplies"
"1052395.20","194888","36.9988468569821403","2020","Cleaning Brushes","Cleaning Supplies"
"747529.44","65688","113.2105770104497955","2019","Bottle Cleaners","Cleaning Supplies"
"664616.55","66131","98.9454443948191157","2019","Sanitizer","Cleaning Supplies"
"354283.20","65608","52.2387496313771749","2019","Cleaning Brushes","Cleaning Supplies"
"42634429.74","362322","1495.8924157047121154","2021","Fermenter","Equipment"
"40889383.64","347492","1441.5944027640671273","2023","Fermenter","Equipment"
"39386647.44","362376","1378.2156707957169851","2021","Brewing Kettle","Equipment"
"38561753.37","327711","1356.6140147757255937","2022","Fermenter","Equipment"
"38263118.91","352039","1340.5899695186041623","2023","Brewing Kettle","Equipment"
"35618908.59","327711","1247.9909109701832452","2022","Brewing Kettle","Equipment"
"32564466.48","276744","1492.2085176190257985","2024","Fermenter","Equipment"
"30415048.77","279833","1388.8150123287671233","2024","Brewing Kettle","Equipment"
"27154533.33","363953","947.9676498516320475","2021","Bottling Tools","Equipment"
"26341508.16","353056","916.6408518634512997","2023","Bottling Tools","Equipment"
"24431342.94","327454","858.5354373264926029","2022","Bottling Tools","Equipment"
"22993424.02","195406","798.3827784722222222","2020","Fermenter","Equipment"
"21328130.01","196229","740.6372195020314616","2020","Brewing Kettle","Equipment"
"20727105.66","277806","942.0127100849884107","2024","Bottling Tools","Equipment"
"14549546.88","195008","509.2952562307476897","2020","Bottling Tools","Equipment"
"7847882.98","66694","1165.0657630641330166","2019","Fermenter","Equipment"
"7413744.90","68210","1092.5058797524314766","2019","Brewing Kettle","Equipment"
"4890088.62","65542","748.6357348438456828","2019","Bottling Tools","Equipment"
"8965960.42","362554","315.0704719401201813","2021","Malt","Ingredients"
"8667642.43","350491","304.3520639769654833","2023","Malt","Ingredients"
"7966645.85","322145","281.0203481604289393","2022","Malt","Ingredients"
"6778344.62","274094","312.7119680752906440","2024","Malt","Ingredients"
"4802145.59","194183","168.8755658320438880","2020","Malt","Ingredients"
"3282810.19","359563","116.0044591681684865","2021","Hops","Ingredients"
"3195034.37","349949","111.8905400105060410","2023","Hops","Ingredients"
"2981574.97","326569","104.5139852075154234","2022","Hops","Ingredients"
"2637583.53","364811","92.4267978413988857","2021","Yeast","Ingredients"
"2546722.20","278940","115.6707180814824908","2024","Hops","Ingredients"
"2528923.86","349782","88.6874928984744871","2023","Yeast","Ingredients"
"2368613.07","327609","82.8707952557553705","2022","Yeast","Ingredients"
"2014776.87","278669","91.7016462609803832","2024","Yeast","Ingredients"
"1796893.56","196812","62.3445132190687669","2020","Hops","Ingredients"
"1669373.92","67504","245.3879053358812289","2019","Malt","Ingredients"
"1427368.29","197423","49.0201349680609932","2020","Yeast","Ingredients"
"588373.72","64444","89.3234735084256870","2019","Hops","Ingredients"
"484930.56","67072","72.0550609212481426","2019","Yeast","Ingredients"
"38325315.00","365003","1340.0459790209790210","2021","Advanced Kit","Kits"
"37182075.00","354115","1294.5503446835178609","2023","Advanced Kit","Kits"
"34321770.00","326874","1205.1606446855577794","2022","Advanced Kit","Kits"
"29350096.23","358059","1039.1989600963070495","2021","Starter Kit","Kits"
"29088611.93","354869","1006.9096171553186334","2023","Starter Kit","Kits"
"28805910.00","274342","1326.6054158607350097","2024","Advanced Kit","Kits"
"27091658.79","330507","946.0369029577120508","2022","Starter Kit","Kits"
"22501174.85","274505","1038.0207062785440790","2024","Starter Kit","Kits"
"20705580.00","197196","725.4679233383553484","2020","Advanced Kit","Kits"
"16066857.73","196009","562.9395511719981781","2020","Starter Kit","Kits"
"7034055.00","66991","1037.9305002213368747","2019","Advanced Kit","Kits"
"5595764.02","68266","828.7565195497630332","2019","Starter Kit","Kits"
