"position","total_transactions","avg_sales","total_sales","year"
"Brewing Expert","10604","409.89","4346491.23","2019"
"No Sales Associate","47296","318.53","15065339.53","2019"
"Sales Associate","59509","384.94","22907407.56","2019"
"Store Manager","23739","396.24","9406336.03","2019"
"Brewing Expert","45216","277.70","12556258.08","2020"
"No Sales Associate","201077","219.56","44148031.87","2020"
"Sales Associate","253637","265.19","67262295.91","2020"
"Store Manager","101507","269.69","27375080.35","2020"
"Brewing Expert","44888","521.60","23413704.69","2021"
"No Sales Associate","199512","409.03","81605546.36","2021"
"Sales Associate","253445","492.42","124802183.11","2021"
"Store Manager","101769","497.95","50675387.64","2021"
"Brewing Expert","45333","470.88","21346412.87","2022"
"No Sales Associate","199023","368.77","73393455.80","2022"
"Sales Associate","253489","445.20","112854079.81","2022"
"Store Manager","101498","453.34","46013524.31","2022"
"Brewing Expert","44951","493.22","22170704.77","2023"
"No Sales Associate","200004","395.14","79030235.23","2023"
"Sales Associate","253463","479.57","121552924.69","2023"
"Store Manager","101120","487.92","49338501.59","2023"
"Brewing Expert","34415","515.13","17728045.30","2024"
"No Sales Associate","152922","405.57","62020009.50","2024"
"Sales Associate","193770","495.80","96070991.96","2024"
"Store Manager","77813","495.82","38581495.00","2024"
