"customer_id","total_transactions","total_customer_rev"
5034,"932","429209.47"
70,"908","423263.35"
4738,"852","421904.39"
1170,"876","420736.30"
5062,"869","419006.40"
5019,"872","418921.96"
4920,"854","416040.76"
4735,"860","415667.60"
4764,"826","414658.12"
3458,"908","414512.68"
3671,"824","412687.70"
4615,"851","412393.77"
4784,"876","412236.25"
26,"833","410131.15"
1178,"866","409854.85"
1328,"872","408968.93"
3720,"882","408593.79"
4856,"873","408181.76"
3312,"873","408105.40"
1329,"898","407627.70"
4682,"853","407268.33"
255,"852","406907.36"
3007,"889","406901.49"
4490,"839","405622.74"
3529,"848","405175.26"
5408,"858","404533.79"
3395,"860","403817.07"
4382,"849","403727.83"
3617,"831","403612.04"
3935,"818","403457.51"
299,"912","403269.39"
1325,"843","402630.33"
3570,"855","402520.86"
3493,"862","401942.96"
3616,"861","401737.52"
4276,"903","401495.84"
5137,"829","400784.38"
2466,"889","400598.80"
1200,"865","400188.34"
2122,"893","400182.76"
2356,"839","400088.50"
4880,"911","400061.03"
3662,"834","399883.46"
1510,"858","399808.41"
1658,"889","399574.22"
3549,"869","399381.36"
1447,"843","398947.37"
2211,"896","398762.19"
3344,"825","398390.52"
4297,"813","398331.36"
1388,"872","397945.67"
2950,"806","397923.55"
3905,"867","397865.32"
2446,"859","397500.86"
3691,"851","397382.84"
4966,"856","397272.26"
2437,"823","397085.68"
894,"866","397078.14"
5901,"870","396909.20"
3640,"888","396669.10"
1298,"887","396432.56"
4444,"864","396308.82"
4810,"843","395630.97"
2371,"836","395555.26"
3472,"894","395495.48"
2148,"822","395436.04"
3377,"849","395148.12"
1263,"866","394741.22"
3637,"847","394447.47"
3484,"887","394371.97"
3705,"807","394352.83"
2507,"864","394049.66"
2340,"897","393985.83"
76,"850","393969.24"
1620,"857","393931.29"
5080,"818","393789.83"
2296,"830","393545.29"
2348,"880","393544.53"
2383,"886","393507.66"
2555,"852","393382.94"
3497,"838","393370.21"
203,"876","393301.52"
3843,"842","393232.09"
3315,"886","393196.17"
2133,"870","393171.87"
2448,"901","392850.46"
1274,"863","392546.71"
3304,"849","392374.03"
2666,"859","392332.41"
2829,"832","392314.34"
2217,"885","392263.96"
1612,"843","392225.70"
3513,"836","392213.63"
1531,"812","392181.96"
1198,"834","392026.12"
3555,"875","391879.16"
4287,"839","391695.81"
3391,"887","391353.01"
4901,"828","391236.06"
155,"846","391167.68"
5065,"891","391164.89"
2347,"834","391134.01"
5507,"799","391073.36"
1322,"888","390845.83"
1191,"869","390678.07"
4627,"874","390356.33"
2375,"881","390351.56"
3581,"843","390232.25"
5064,"869","389586.40"
1083,"847","389228.63"
1272,"904","389221.73"
4995,"861","389121.20"
4729,"856","389029.60"
4785,"859","388840.76"
4854,"789","388721.56"
2249,"812","388589.67"
5564,"890","388544.06"
3443,"833","388486.23"
257,"824","388326.75"
1396,"875","388298.25"
2323,"868","388219.35"
2030,"834","388186.09"
3578,"837","388021.66"
4953,"873","387959.51"
2197,"848","387657.75"
111,"906","387543.25"
4867,"846","387508.90"
4761,"816","387399.53"
4838,"849","387389.63"
1389,"837","387168.37"
733,"867","387090.99"
5444,"808","386897.54"
1022,"868","386697.71"
2434,"845","386674.20"
2456,"856","386431.71"
5654,"860","386305.33"
4712,"835","386295.24"
2253,"857","386177.53"
123,"848","386152.89"
2286,"844","386138.25"
4049,"882","386076.46"
2607,"877","385951.38"
4756,"840","385948.48"
2757,"822","385945.06"
4762,"866","385800.22"
3670,"841","385750.25"
5459,"875","385704.59"
1736,"883","385598.81"
3445,"838","385506.56"
1436,"859","385504.36"
2025,"822","385359.98"
2083,"856","385241.45"
4019,"904","385174.85"
2837,"849","385145.92"
4701,"906","385100.38"
4474,"858","385019.18"
4983,"839","385007.83"
3373,"834","385003.52"
1990,"801","384981.57"
142,"880","384839.40"
2107,"856","384788.98"
2397,"828","384726.60"
2195,"823","384398.52"
3261,"904","384296.94"
2572,"830","384288.50"
2258,"860","384221.15"
4692,"834","383993.13"
1368,"856","383811.50"
71,"835","383789.25"
4659,"825","383728.58"
1357,"839","383663.55"
283,"844","383650.57"
5046,"831","383620.72"
2447,"851","383612.60"
2251,"856","383593.52"
3532,"852","383539.69"
3528,"813","383429.86"
3452,"876","383411.58"
1172,"911","383343.43"
4462,"857","383285.31"
3353,"857","383276.51"
3102,"857","383186.68"
2810,"866","383158.91"
3413,"850","383054.24"
4643,"829","382962.59"
2868,"817","382816.52"
2036,"828","382749.20"
5536,"808","382698.68"
1136,"865","382689.30"
301,"841","382651.88"
2287,"803","382645.36"
197,"858","382610.19"
3086,"842","382609.50"
3194,"837","382573.54"
4616,"876","382549.27"
3306,"882","382389.68"
