"month","year","current_month_rev","previous_month_rev","monthly_change_rev","cum_annual_sales"
"10","2019","12195141.75","0","0","12195141.75"
"11","2019","15493501.34","12195141.75","3298359.59","27688643.09"
"12","2019","24036931.26","15493501.34","8543429.92","51725574.35"
"1","2020","12355905.45","24036931.26","-11681025.81","12355905.45"
"2","2020","9876152.28","12355905.45","-2479753.17","22232057.73"
"3","2020","11271927.69","9876152.28","1395775.41","33503985.42"
"4","2020","11134241.20","11271927.69","-137686.49","44638226.62"
"5","2020","11982763.27","11134241.20","848522.07","56620989.89"
"6","2020","13396086.36","11982763.27","1413323.09","70017076.25"
"7","2020","16362392.16","13396086.36","2966305.80","86379468.41"
"8","2020","11916670.59","16362392.16","-4445721.57","98296139.00"
"9","2020","11487380.97","11916670.59","-429289.62","109783519.97"
"10","2020","12165314.34","11487380.97","677933.37","121948834.31"
"11","2020","11643309.87","12165314.34","-522004.47","133592144.18"
"12","2020","17749522.03","11643309.87","6106212.16","151341666.21"
"1","2021","23912849.91","17749522.03","6163327.88","23912849.91"
"2","2021","17085214.32","23912849.91","-6827635.59","40998064.23"
"3","2021","20758581.27","17085214.32","3673366.95","61756645.50"
"4","2021","20583785.25","20758581.27","-174796.02","82340430.75"
"5","2021","21584938.84","20583785.25","1001153.59","103925369.59"
"6","2021","24472933.89","21584938.84","2887995.05","128398303.48"
"7","2021","30941727.86","24472933.89","6468793.97","159340031.34"
"8","2021","21783441.09","30941727.86","-9158286.77","181123472.43"
"9","2021","21011418.59","21783441.09","-772022.50","202134891.02"
"10","2021","22939713.37","21011418.59","1928294.78","225074604.39"
"11","2021","21553719.80","22939713.37","-1385993.57","246628324.19"
"12","2021","33868497.61","21553719.80","12314777.81","280496821.80"
"1","2022","21044529.52","33868497.61","-12823968.09","21044529.52"
"2","2022","15724794.79","21044529.52","-5319734.73","36769324.31"
"3","2022","18921712.59","15724794.79","3196917.80","55691036.90"
"4","2022","18746200.10","18921712.59","-175512.49","74437237.00"
"5","2022","19355408.43","18746200.10","609208.33","93792645.43"
"6","2022","22645810.60","19355408.43","3290402.17","116438456.03"
"7","2022","28202777.34","22645810.60","5556966.74","144641233.37"
"8","2022","19348823.40","28202777.34","-8853953.94","163990056.77"
"9","2022","19277965.78","19348823.40","-70857.62","183268022.55"
"10","2022","20000169.24","19277965.78","722203.46","203268191.79"
"11","2022","19395800.88","20000169.24","-604368.36","222663992.67"
"12","2022","30943480.12","19395800.88","11547679.24","253607472.79"
"1","2023","22530557.85","30943480.12","-8412922.27","22530557.85"
"2","2023","16637607.03","22530557.85","-5892950.82","39168164.88"
"3","2023","20645693.53","16637607.03","4008086.50","59813858.41"
"4","2023","20403989.03","20645693.53","-241704.50","80217847.44"
"5","2023","20340006.56","20403989.03","-63982.47","100557854.00"
"6","2023","24755243.89","20340006.56","4415237.33","125313097.89"
"7","2023","29657649.25","24755243.89","4902405.36","154970747.14"
"8","2023","21113004.38","29657649.25","-8544644.87","176083751.52"
"9","2023","20975003.99","21113004.38","-138000.39","197058755.51"
"10","2023","21219521.48","20975003.99","244517.49","218278276.99"
"11","2023","20654841.44","21219521.48","-564680.04","238933118.43"
"12","2023","33159247.85","20654841.44","12504406.41","272092366.28"
"1","2024","23633996.95","33159247.85","-9525250.90","23633996.95"
"2","2024","18216116.33","23633996.95","-5417880.62","41850113.28"
"3","2024","22442402.73","18216116.33","4226286.40","64292516.01"
"4","2024","21227097.55","22442402.73","-1215305.18","85519613.56"
"5","2024","22041997.31","21227097.55","814899.76","107561610.87"
"6","2024","26446734.06","22041997.31","4404736.75","134008344.93"
"7","2024","30904302.68","26446734.06","4457568.62","164912647.61"
"8","2024","22961505.09","30904302.68","-7942797.59","187874152.70"
"9","2024","21778829.95","22961505.09","-1182675.14","209652982.65"
"10","2024","4747559.11","21778829.95","-17031270.84","214400541.76"
