"store_name","product_name","product_rank"
"BrewMasters Austin","Beanie","1"
"BrewMasters Austin","Cleaning Brushes","2"
"BrewMasters Austin","Advanced Kit","3"
"BrewMasters Austin","Starter Kit","4"
"BrewMasters Austin","Bottling Tools","5"
"BrewMasters Denver","Advanced Kit","1"
"BrewMasters Denver","Starter Kit","2"
"BrewMasters Denver","Hops","3"
"BrewMasters Denver","Brewing Kettle","4"
"BrewMasters Denver","Bottle Caps","5"
"BrewMasters New York","Brewing Kettle","1"
"BrewMasters New York","Bottling Tools","2"
"BrewMasters New York","Bottle Caps","3"
"BrewMasters New York","Hoodie","4"
"BrewMasters New York","Beanie","5"
"BrewMasters Online","Glass Bottles","1"
"BrewMasters Online","Yeast","2"
"BrewMasters Online","Sanitizer","3"
"BrewMasters Online","Growlers","4"
"BrewMasters Online","Hydrometer","5"
"BrewMasters Portland","Thermometer","1"
"BrewMasters Portland","Yeast","2"
"BrewMasters Portland","Hydrometer","3"
"BrewMasters Portland","Glass Bottles","4"
"BrewMasters Portland","Hoodie","5"
"BrewMasters San Francisco","Cleaning Brushes","1"
"BrewMasters San Francisco","Fermenter","2"
"BrewMasters San Francisco","Bottle Caps","3"
"BrewMasters San Francisco","Advanced Kit","4"
"BrewMasters San Francisco","Starter Kit","5"
"BrewMasters Seattle","Sanitizer","1"
"BrewMasters Seattle","Yeast","2"
"BrewMasters Seattle","Beanie","3"
"BrewMasters Seattle","Thermometer","4"
"BrewMasters Seattle","Bottle Cleaners","5"
