"store_name","total_sales","year"
"BrewMasters Online","81605546.36","2021"
"BrewMasters Online","79030235.23","2023"
"BrewMasters Online","73393455.80","2022"
"BrewMasters Online","62020009.50","2024"
"BrewMasters Online","44148031.87","2020"
"BrewMasters San Francisco","43162757.39","2021"
"BrewMasters New York","42330630.38","2021"
"BrewMasters San Francisco","42017465.77","2023"
"BrewMasters New York","41317485.47","2023"
"BrewMasters Seattle","40065025.67","2021"
"BrewMasters San Francisco","39293574.60","2022"
"BrewMasters Seattle","38996846.59","2023"
"BrewMasters New York","38191020.27","2022"
"BrewMasters Seattle","36793354.03","2022"
"BrewMasters San Francisco","33548361.76","2024"
"BrewMasters New York","33084600.04","2024"
"BrewMasters Portland","32991417.95","2021"
"BrewMasters Portland","31720180.87","2023"
"BrewMasters Seattle","30270670.27","2024"
"BrewMasters Portland","29325135.46","2022"
"BrewMasters Denver","27737569.12","2021"
"BrewMasters Denver","26826008.31","2023"
"BrewMasters Denver","25155391.00","2022"
"BrewMasters Portland","24820028.57","2024"
"BrewMasters San Francisco","23135194.91","2020"
"BrewMasters New York","22935735.78","2020"
"BrewMasters Seattle","21830309.57","2020"
"BrewMasters Denver","21002037.75","2024"
"BrewMasters Portland","17600164.38","2020"
"BrewMasters Online","15065339.53","2019"
"BrewMasters Denver","14914894.22","2020"
"BrewMasters Austin","12603874.93","2021"
"BrewMasters Austin","12184144.04","2023"
"BrewMasters Austin","11455541.63","2022"
"BrewMasters Austin","9654833.87","2024"
"BrewMasters New York","7879047.72","2019"
"BrewMasters San Francisco","7830870.96","2019"
"BrewMasters Seattle","7453355.33","2019"
"BrewMasters Austin","6777335.48","2020"
"BrewMasters Portland","5980093.67","2019"
"BrewMasters Denver","5191014.10","2019"
"BrewMasters Austin","2325853.04","2019"
